title,author,length
The Problem with Dating,Brittainy Cherry,Length: 9 hrs and 57 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
The Breakthrough Years,Ellen Galinsky,Length: 18 hrs and 58 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
The Path of Ascension: Books 1-3.5,C. Mantis,Length: 70 hrs and 2 mins
"How to Be a Badass Witch Boxed Set, Books 1-3",Michael Anderle,Length: 25 hrs and 46 mins
Sentinel,Mark Greaney,Length: 17 hrs
Fate of a Royal,"Meagan Brandy,Amo Jones",Length: 8 hrs and 11 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
The Bad Weather Friend,Dean Koontz,Length: 8 hrs and 42 mins
Except You,Cora Rose,Length: 8 hrs and 12 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
